Name,District,Type,Description
PEASTER ISD,184908,D,OTHER CENTRAL CITY SUBURBAN
PECOS-BARSTOW-TOYAH ISD,195901,G,NON-METROPOLITAN STABLE
PEGASUS SCHOOL OF LIBERAL ARTS AND,057802,I,CHARTER SCHOOL DISTRICTS
PENELOPE ISD,109914,H,RURAL
PERRIN-WHITT CISD,119903,H,RURAL
PERRYTON ISD,179901,G,NON-METROPOLITAN STABLE
PETERSBURG ISD,095904,H,RURAL
PETROLIA ISD,039903,H,RURAL
PETTUS ISD,013903,H,RURAL
PEWITT CISD,172905,G,NON-METROPOLITAN STABLE
PFLUGERVILLE ISD,227904,B,MAJOR SUBURBAN
PHARR-SAN JUAN-ALAMO ISD,108909,C,OTHER CENTRAL CITY
PHOENIX CHARTER SCHOOL,116801,I,CHARTER SCHOOL DISTRICTS
PILOT POINT ISD,061903,D,OTHER CENTRAL CITY SUBURBAN
PINE TREE ISD,092904,D,OTHER CENTRAL CITY SUBURBAN
PINEYWOODS COMMUNITY ACADEMY,003801,I,CHARTER SCHOOL DISTRICTS
PITTSBURG ISD,032902,G,NON-METROPOLITAN STABLE
PLAINS ISD,251902,H,RURAL
PLAINVIEW ISD,095905,E,INDEPENDENT TOWN
PLANO ISD,043910,B,MAJOR SUBURBAN
PLEASANT GROVE ISD,019912,G,NON-METROPOLITAN STABLE
PLEASANTON ISD,007905,E,INDEPENDENT TOWN
PLEMONS-STINNETT-PHILLIPS CISD,117904,H,RURAL
POINT ISABEL ISD,031909,D,OTHER CENTRAL CITY SUBURBAN
PONDER ISD,061906,D,OTHER CENTRAL CITY SUBURBAN
POOLVILLE ISD,184901,H,RURAL
POR VIDA ACADEMY,015801,I,CHARTER SCHOOL DISTRICTS
PORT ARANSAS ISD,178908,H,RURAL
PORT ARTHUR ISD,123907,D,OTHER CENTRAL CITY SUBURBAN
PORT NECHES-GROVES ISD,123908,D,OTHER CENTRAL CITY SUBURBAN
POSITIVE SOLUTIONS CHARTER SCHOOL,015814,I,CHARTER SCHOOL DISTRICTS
POST ISD,085902,G,NON-METROPOLITAN STABLE
POTEET ISD,007906,G,NON-METROPOLITAN STABLE
POTH ISD,247904,H,RURAL
POTTSBORO ISD,091913,D,OTHER CENTRAL CITY SUBURBAN
PRAIRIE LEA ISD,028906,H,RURAL
PRAIRIE VALLEY ISD,169909,H,RURAL
PRAIRILAND ISD,139912,G,NON-METROPOLITAN STABLE
PREMIER HIGH SCHOOLS,072801,I,CHARTER SCHOOL DISTRICTS
PREMIER LEARNING ACADEMY,084805,I,CHARTER SCHOOL DISTRICTS
PREMONT ISD,125905,H,RURAL
PRESIDIO ISD,189902,G,NON-METROPOLITAN STABLE
PRIDDY ISD,167904,H,RURAL
PRIME PREP ACADEMY,220818,I,CHARTER SCHOOL DISTRICTS
PRINCETON ISD,043911,F,NON-METROPOLITAN FAST GROWING
PRINGLE-MORSE CISD,098903,H,RURAL
PRIORITY CHARTER SCHOOLS,014803,I,CHARTER SCHOOL DISTRICTS
PROGRESO ISD,108910,G,NON-METROPOLITAN STABLE
PROMISE COMMUNITY SCHOOL,101853,I,CHARTER SCHOOL DISTRICTS
PROSPER ISD,043912,D,OTHER CENTRAL CITY SUBURBAN
QUANAH ISD,099903,H,RURAL
QUEEN CITY ISD,034907,G,NON-METROPOLITAN STABLE
QUINLAN ISD,116908,D,OTHER CENTRAL CITY SUBURBAN
QUITMAN ISD,250904,E,INDEPENDENT TOWN
RADIANCE ACADEMY OF LEARNING,015815,I,CHARTER SCHOOL DISTRICTS
RAINS ISD,190903,G,NON-METROPOLITAN STABLE
RALLS ISD,054903,H,RURAL
RAMIREZ CSD,066005,H,RURAL
RANCH ACADEMY,234801,I,CHARTER SCHOOL DISTRICTS
RANDOLPH FIELD ISD,015906,G,NON-METROPOLITAN STABLE
RANGER ISD,067907,H,RURAL
RANKIN ISD,231902,H,RURAL
RAPOPORT ACADEMY PUBLIC SCHOOL,161802,I,CHARTER SCHOOL DISTRICTS
RAUL YZAGUIRRE SCHOOL FOR SUCCESS,101806,I,CHARTER SCHOOL DISTRICTS
RAVEN SCHOOL,236801,I,CHARTER SCHOOL DISTRICTS
RAYMONDVILLE ISD,245903,D,OTHER CENTRAL CITY SUBURBAN
REAGAN COUNTY ISD,192901,D,OTHER CENTRAL CITY SUBURBAN
RED LICK ISD,019911,F,NON-METROPOLITAN FAST GROWING
RED OAK ISD,070911,C,OTHER CENTRAL CITY
REDWATER ISD,019906,G,NON-METROPOLITAN STABLE
REFUGIO ISD,196903,H,RURAL
RICARDO ISD,137902,H,RURAL
RICE CISD,045903,G,NON-METROPOLITAN STABLE
RICE ISD,175911,D,OTHER CENTRAL CITY SUBURBAN
RICHARD MILBURN ALTER HIGH SCHOOL,014801,I,CHARTER SCHOOL DISTRICTS
RICHARDS ISD,093905,H,RURAL
RICHARDSON ISD,057916,B,MAJOR SUBURBAN
RICHLAND COLLEGIATE HIGH SCHOOL,057840,I,CHARTER SCHOOL DISTRICTS
RICHLAND SPRINGS ISD,206902,H,RURAL
RIESEL ISD,161912,H,RURAL
RIO GRANDE CITY CISD,214901,D,OTHER CENTRAL CITY SUBURBAN
RIO HONDO ISD,031911,G,NON-METROPOLITAN STABLE
RIO VISTA ISD,126907,H,RURAL
