County,District,Name,Code,Institution,Students
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,TEXAS STATE UNIVERSITY (003615) ,6
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,MIDLAND COLLEGE (009797) ,5
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,Other Pub/Ind 4-yr Institution (15) ,24
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,Other Pub/Ind 2-yr Institution (3) ,3
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,Not trackable ,8
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,Not found ,106
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,Total high school graduates ,216
,,,,,
ANGELINA ,CENTRAL ISD ,CENTRAL H S ,003907001,ANGELINA COLLEGE (006661) ,32
ANGELINA ,CENTRAL ISD ,CENTRAL H S ,003907001,Other Pub/Ind 4-yr Institution (6) ,9
ANGELINA ,CENTRAL ISD ,CENTRAL H S ,003907001,Other Pub/Ind 2-yr Institution (2) ,2
ANGELINA ,CENTRAL ISD ,CENTRAL H S ,003907001,Not found ,38
ANGELINA ,CENTRAL ISD ,CENTRAL H S ,003907001,Total high school graduates ,81
,,,,,
ANGELINA ,DIBOLL ISD ,DIBOLL H S ,003905001,ANGELINA COLLEGE (006661) ,31
ANGELINA ,DIBOLL ISD ,DIBOLL H S ,003905001,STEPHEN F. AUSTIN STATE UNIV (003624) ,10
ANGELINA ,DIBOLL ISD ,DIBOLL H S ,003905001,Other Pub/Ind 4-yr Institution (8) ,9
ANGELINA ,DIBOLL ISD ,DIBOLL H S ,003905001,Other Pub/Ind 2-yr Institution (7) ,7
ANGELINA ,DIBOLL ISD ,DIBOLL H S ,003905001,Not trackable ,3
ANGELINA ,DIBOLL ISD ,DIBOLL H S ,003905001,Not found ,47
ANGELINA ,DIBOLL ISD ,DIBOLL H S ,003905001,Total high school graduates ,107
,,,,,
ANGELINA ,HUDSON ISD ,HUDSON H S ,003902001,ANGELINA COLLEGE (006661) ,55
ANGELINA ,HUDSON ISD ,HUDSON H S ,003902001,STEPHEN F. AUSTIN STATE UNIV (003624) ,10
ANGELINA ,HUDSON ISD ,HUDSON H S ,003902001,SAM HOUSTON STATE UNIVERSITY (003606) ,6
ANGELINA ,HUDSON ISD ,HUDSON H S ,003902001,TEXAS STATE UNIVERSITY (003615) ,5
ANGELINA ,HUDSON ISD ,HUDSON H S ,003902001,Other Pub/Ind 4-yr Institution (11) ,18
ANGELINA ,HUDSON ISD ,HUDSON H S ,003902001,Other Pub/Ind 2-yr Institution (9) ,12
ANGELINA ,HUDSON ISD ,HUDSON H S ,003902001,Not found ,67
ANGELINA ,HUDSON ISD ,HUDSON H S ,003902001,Total high school graduates ,173
,,,,,
ANGELINA ,HUNTINGTON ISD ,HUNTINGTON H S ,003904001,ANGELINA COLLEGE (006661) ,31
ANGELINA ,HUNTINGTON ISD ,HUNTINGTON H S ,003904001,STEPHEN F. AUSTIN STATE UNIV (003624) ,7
ANGELINA ,HUNTINGTON ISD ,HUNTINGTON H S ,003904001,TEXAS A&M UNIVERSITY (003632) ,5
ANGELINA ,HUNTINGTON ISD ,HUNTINGTON H S ,003904001,Other Pub/Ind 4-yr Institution (5) ,7
ANGELINA ,HUNTINGTON ISD ,HUNTINGTON H S ,003904001,Other Pub/Ind 2-yr Institution (6) ,6
ANGELINA ,HUNTINGTON ISD ,HUNTINGTON H S ,003904001,Not trackable ,1
ANGELINA ,HUNTINGTON ISD ,HUNTINGTON H S ,003904001,Not found ,57
ANGELINA ,HUNTINGTON ISD ,HUNTINGTON H S ,003904001,Total high school graduates ,114
,,,,,
ANGELINA ,LUFKIN ISD ,LUFKIN H S ,003903001,ANGELINA COLLEGE (006661) ,116
ANGELINA ,LUFKIN ISD ,LUFKIN H S ,003903001,STEPHEN F. AUSTIN STATE UNIV (003624) ,25
ANGELINA ,LUFKIN ISD ,LUFKIN H S ,003903001,TEXAS A&M UNIVERSITY (003632) ,16
ANGELINA ,LUFKIN ISD ,LUFKIN H S ,003903001,TYLER JUNIOR COLLEGE (003648) ,12
ANGELINA ,LUFKIN ISD ,LUFKIN H S ,003903001,U. OF TEXAS AT AUSTIN (003658) ,10
ANGELINA ,LUFKIN ISD ,LUFKIN H S ,003903001,BLINN COLLEGE (003549) ,8
ANGELINA ,LUFKIN ISD ,LUFKIN H S ,003903001,LAMAR UNIVERSITY (003581) ,7
