County,District,Name,Code,Institution,Students
ANDERSON COUN ,CAYUGA ISD ,CAYUGA H S ,001902001,TRINITY VALLEY COMM COLLEGE (003572) ,14
ANDERSON COUN ,CAYUGA ISD ,CAYUGA H S ,001902001,Other Pub/Ind 4-yr Institution (6) ,8
ANDERSON COUN ,CAYUGA ISD ,CAYUGA H S ,001902001,Other Pub/Ind 2-yr Institution (4) ,5
ANDERSON COUN ,CAYUGA ISD ,CAYUGA H S ,001902001,Not found ,22
ANDERSON COUN ,CAYUGA ISD ,CAYUGA H S ,001902001,Total high school graduates ,49
,,,,,
ANDERSON COUN ,ELKHART ISD ,ELKHART H S ,001903001,TRINITY VALLEY COMM COLLEGE (003572) ,14
ANDERSON COUN ,ELKHART ISD ,ELKHART H S ,001903001,TYLER JUNIOR COLLEGE (003648) ,9
ANDERSON COUN ,ELKHART ISD ,ELKHART H S ,001903001,Other Pub/Ind 4-yr Institution (8) ,12
ANDERSON COUN ,ELKHART ISD ,ELKHART H S ,001903001,Other Pub/Ind 2-yr Institution (2) ,2
ANDERSON COUN ,ELKHART ISD ,ELKHART H S ,001903001,Not found ,52
ANDERSON COUN ,ELKHART ISD ,ELKHART H S ,001903001,Total high school graduates ,89
,,,,,
ANDERSON COUN ,FRANKSTON ISD ,FRANKSTON H S ,001904001,TYLER JUNIOR COLLEGE (003648) ,5
ANDERSON COUN ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Other Pub/Ind 4-yr Institution (3) ,6
ANDERSON COUN ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Other Pub/Ind 2-yr Institution (4) ,8
ANDERSON COUN ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Not trackable ,1
ANDERSON COUN ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Not found ,34
ANDERSON COUN ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Total high school graduates ,54
,,,,,
ANDERSON COUN ,PALESTINE ISD ,PALESTINE H S ,001907001,TYLER JUNIOR COLLEGE (003648) ,21
ANDERSON COUN ,PALESTINE ISD ,PALESTINE H S ,001907001,TRINITY VALLEY COMM COLLEGE (003572) ,19
ANDERSON COUN ,PALESTINE ISD ,PALESTINE H S ,001907001,TEXAS A&M UNIVERSITY (003632) ,8
ANDERSON COUN ,PALESTINE ISD ,PALESTINE H S ,001907001,U. OF TEXAS AT TYLER (011163) ,7
ANDERSON COUN ,PALESTINE ISD ,PALESTINE H S ,001907001,TEXAS STATE T. C. WACO (003634) ,5
ANDERSON COUN ,PALESTINE ISD ,PALESTINE H S ,001907001,Other Pub/Ind 4-yr Institution (15) ,21
ANDERSON COUN ,PALESTINE ISD ,PALESTINE H S ,001907001,Other Pub/Ind 2-yr Institution (8) ,10
ANDERSON COUN ,PALESTINE ISD ,PALESTINE H S ,001907001,Not trackable ,11
ANDERSON COUN ,PALESTINE ISD ,PALESTINE H S ,001907001,Not found ,117
ANDERSON COUN ,PALESTINE ISD ,PALESTINE H S ,001907001,Total high school graduates ,219
,,,,,
ANDERSON COUN ,WESTWOOD ISD ,WESTWOOD H S ,001908002,TRINITY VALLEY COMM COLLEGE (003572) ,7
ANDERSON COUN ,WESTWOOD ISD ,WESTWOOD H S ,001908002,TYLER JUNIOR COLLEGE (003648) ,5
ANDERSON COUN ,WESTWOOD ISD ,WESTWOOD H S ,001908002,Other Pub/Ind 4-yr Institution (10) ,14
ANDERSON COUN ,WESTWOOD ISD ,WESTWOOD H S ,001908002,Other Pub/Ind 2-yr Institution (6) ,10
ANDERSON COUN ,WESTWOOD ISD ,WESTWOOD H S ,001908002,Not trackable ,3
ANDERSON COUN ,WESTWOOD ISD ,WESTWOOD H S ,001908002,Not found ,62
ANDERSON COUN ,WESTWOOD ISD ,WESTWOOD H S ,001908002,Total high school graduates ,101
,,,,,
ANDREWS COUNT ,ANDREWS ISD ,ANDREWS EDUCATION CENTER ,002901002,Other Pub/Ind 2-yr Institution (2) ,2
ANDREWS COUNT ,ANDREWS ISD ,ANDREWS EDUCATION CENTER ,002901002,Not trackable ,4
ANDREWS COUNT ,ANDREWS ISD ,ANDREWS EDUCATION CENTER ,002901002,Not found ,32
