County,District,Name,Code,Institution,Students
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,TRINITY VALLEY COMM COLLEGE (003572) ,10
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,Other Pub/Ind 4-yr Institution (6) ,7
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,Other Pub/Ind 2-yr Institution (3) ,4
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,Not found ,24
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,Total high school graduates ,45
,,,,,
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,TRINITY VALLEY COMM COLLEGE (003572) ,12
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,TYLER JUNIOR COLLEGE (003648) ,5
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,Other Pub/Ind 4-yr Institution (8) ,13
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,Other Pub/Ind 2-yr Institution (1) ,3
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,Not found ,41
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,Total high school graduates ,74
,,,,,
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,TYLER JUNIOR COLLEGE (003648) ,9
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,TRINITY VALLEY COMM COLLEGE (003572) ,7
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,TEXAS A&M UNIVERSITY (003632) ,5
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,UNIVERSITY OF NORTH TEXAS (003594) ,5
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Other Pub/Ind 4-yr Institution (3) ,3
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Not trackable ,1
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Not found ,20
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Total high school graduates ,50
,,,,,
ANDERSON ,NECHES ISD ,NECHES H S ,001906002,TRINITY VALLEY COMM COLLEGE (003572) ,8
ANDERSON ,NECHES ISD ,NECHES H S ,001906002,Other Pub/Ind 4-yr Institution (4) ,5
ANDERSON ,NECHES ISD ,NECHES H S ,001906002,Other Pub/Ind 2-yr Institution (3) ,7
ANDERSON ,NECHES ISD ,NECHES H S ,001906002,Not trackable ,1
ANDERSON ,NECHES ISD ,NECHES H S ,001906002,Not found ,14
ANDERSON ,NECHES ISD ,NECHES H S ,001906002,Total high school graduates ,35
,,,,,
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,TRINITY VALLEY COMM COLLEGE (003572) ,28
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,TYLER JUNIOR COLLEGE (003648) ,6
