County,District,Name,Code,Institution,Students
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,TRINITY VALLEY COMM COLLEGE (003572) ,5
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,Other Pub/Ind 4-yr Institution (4) ,6
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,Other Pub/Ind 2-yr Institution (2) ,4
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,Not found ,24
ANDERSON ,CAYUGA ISD ,CAYUGA H S ,001902001,Total high school graduates ,39
,,,,,
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,TRINITY VALLEY COMM COLLEGE (003572) ,11
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,TYLER JUNIOR COLLEGE (003648) ,7
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,Other Pub/Ind 4-yr Institution (8) ,15
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,Other Pub/Ind 2-yr Institution (2) ,2
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,Not found ,39
ANDERSON ,ELKHART ISD ,ELKHART H S ,001903001,Total high school graduates ,74
,,,,,
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,U. OF TEXAS AT TYLER (011163) ,6
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,TYLER JUNIOR COLLEGE (003648) ,5
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Other Pub/Ind 4-yr Institution (7) ,9
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Other Pub/Ind 2-yr Institution (5) ,8
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Not trackable ,1
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Not found ,29
ANDERSON ,FRANKSTON ISD ,FRANKSTON H S ,001904001,Total high school graduates ,58
,,,,,
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,TYLER JUNIOR COLLEGE (003648) ,23
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,TRINITY VALLEY COMM COLLEGE (003572) ,22
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,U. OF TEXAS AT TYLER (011163) ,10
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,TEXAS A&M UNIVERSITY (003632) ,7
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,Other Pub/Ind 4-yr Institution (11) ,20
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,Other Pub/Ind 2-yr Institution (5) ,7
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,Not trackable ,8
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,Not found ,119
ANDERSON ,PALESTINE ISD ,PALESTINE H S ,001907001,Total high school graduates ,216
,,,,,
ANDERSON ,SLOCUM ISD ,SLOCUM H S ,001909001,TRINITY VALLEY COMM COLLEGE (003572) ,5
ANDERSON ,SLOCUM ISD ,SLOCUM H S ,001909001,Other Pub/Ind 4-yr Institution (6) ,8
ANDERSON ,SLOCUM ISD ,SLOCUM H S ,001909001,Not found ,14
ANDERSON ,SLOCUM ISD ,SLOCUM H S ,001909001,Total high school graduates ,27
,,,,,
ANDERSON ,WESTWOOD ISD ,WESTWOOD H S ,001908002,TYLER JUNIOR COLLEGE (003648) ,15
ANDERSON ,WESTWOOD ISD ,WESTWOOD H S ,001908002,TRINITY VALLEY COMM COLLEGE (003572) ,11
ANDERSON ,WESTWOOD ISD ,WESTWOOD H S ,001908002,Other Pub/Ind 4-yr Institution (11) ,15
ANDERSON ,WESTWOOD ISD ,WESTWOOD H S ,001908002,Other Pub/Ind 2-yr Institution (1) ,3
ANDERSON ,WESTWOOD ISD ,WESTWOOD H S ,001908002,Not found ,57
ANDERSON ,WESTWOOD ISD ,WESTWOOD H S ,001908002,Total high school graduates ,101
,,,,,
ANDREWS ,ANDREWS ISD ,ANDREWS EDUCATION CENTER ,002901002,Other Pub/Ind 4-yr Institution (1) ,1
ANDREWS ,ANDREWS ISD ,ANDREWS EDUCATION CENTER ,002901002,Not found ,30
ANDREWS ,ANDREWS ISD ,ANDREWS EDUCATION CENTER ,002901002,Total high school graduates ,31
,,,,,
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,ODESSA COLLEGE (003596) ,24
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,U. OF TEXAS-PERMIAN BASIN (009930) ,12
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,TEXAS TECH UNIVERSITY (003644) ,9
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,MIDLAND COLLEGE (009797) ,5
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,SOUTH PLAINS COLLEGE (003611) ,5
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,Other Pub/Ind 4-yr Institution (14) ,24
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,Other Pub/Ind 2-yr Institution (9) ,10
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,Not trackable ,7
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,Not found ,101
ANDREWS ,ANDREWS ISD ,ANDREWS H S ,002901001,Total high school graduates ,197
,,,,,
ANGELINA ,CENTRAL ISD ,CENTRAL H S ,003907001,ANGELINA COLLEGE (006661) ,32
ANGELINA ,CENTRAL ISD ,CENTRAL H S ,003907001,STEPHEN F. AUSTIN STATE UNIV (003624) ,6
ANGELINA ,CENTRAL ISD ,CENTRAL H S ,003907001,Other Pub/Ind 4-yr Institution (5) ,5
ANGELINA ,CENTRAL ISD ,CENTRAL H S ,003907001,Other Pub/Ind 2-yr Institution (5) ,7
ANGELINA ,CENTRAL ISD ,CENTRAL H S ,003907001,Not found ,54
ANGELINA ,CENTRAL ISD ,CENTRAL H S ,003907001,Total high school graduates ,104
,,,,,
ANGELINA ,DIBOLL ISD ,DIBOLL H S ,003905001,ANGELINA COLLEGE (006661) ,41
ANGELINA ,DIBOLL ISD ,DIBOLL H S ,003905001,STEPHEN F. AUSTIN STATE UNIV (003624) ,5
