YEAR,DISTRICT ID,CAMPUS ID,ENROLLMENT,GT,CTE,LEP,BIL,ESL,DISADV,SPED
2015,57806.0,57806101.0,1633.0,21.0,291.0,422.0,30.0,364.0,1209.0,117.0
2015,15907.0,15907117.0,275.0,4.0,4.0,85.0,81.0,4.0,250.0,34.0
2015,57914.0,57914041.0,745.0,56.0,153.0,84.0,4.0,78.0,521.0,80.0
2015,178901.0,178901101.0,177.0,4.0,4.0,4.0,4.0,4.0,130.0,8.0
2015,178901.0,178901001.0,220.0,10.0,100.0,4.0,4.0,4.0,132.0,21.0
2015,101905.0,101905043.0,941.0,47.0,215.0,125.0,4.0,117.0,721.0,85.0
2015,108909.0,108909113.0,850.0,52.0,4.0,458.0,436.0,6.0,761.0,50.0
2015,31901.0,31901133.0,808.0,47.0,4.0,456.0,454.0,4.0,771.0,70.0
2015,57916.0,57916135.0,742.0,5.0,4.0,454.0,252.0,201.0,664.0,71.0
2015,139909.0,139909109.0,901.0,117.0,4.0,48.0,4.0,40.0,695.0,142.0
2015,59901.0,59901101.0,424.0,5.0,4.0,91.0,66.0,22.0,391.0,30.0
2015,181907.0,181907002.0,52.0,4.0,4.0,4.0,4.0,4.0,32.0,8.0
2015,84902.0,84902007.0,114.0,4.0,32.0,10.0,4.0,11.0,87.0,6.0
2015,108913.0,108913110.0,679.0,27.0,4.0,191.0,190.0,4.0,536.0,42.0
2015,95903.0,95903102.0,290.0,4.0,4.0,34.0,4.0,34.0,224.0,18.0
2015,227901.0,227901017.0,2667.0,195.0,2087.0,322.0,4.0,298.0,1847.0,289.0
2015,101911.0,101911101.0,862.0,56.0,4.0,200.0,175.0,9.0,503.0,69.0
2015,186902.0,186902102.0,538.0,4.0,4.0,78.0,77.0,4.0,346.0,38.0
2015,15901.0,15901001.0,1549.0,314.0,553.0,17.0,4.0,15.0,219.0,102.0
2015,15901.0,15901041.0,1122.0,269.0,4.0,43.0,14.0,38.0,263.0,63.0
2015,165901.0,165901041.0,791.0,34.0,385.0,69.0,4.0,66.0,382.0,70.0
2015,15822.0,15822004.0,107.0,4.0,4.0,50.0,4.0,50.0,97.0,4.0
2015,108909.0,108909042.0,730.0,60.0,4.0,299.0,4.0,294.0,663.0,45.0
2015,15908.0,15908042.0,638.0,32.0,98.0,61.0,4.0,57.0,575.0,56.0
2015,250906.0,250906101.0,445.0,16.0,4.0,14.0,4.0,14.0,237.0,28.0
2015,250906.0,250906001.0,409.0,28.0,259.0,4.0,4.0,4.0,194.0,46.0
2015,209901.0,209901001.0,214.0,13.0,143.0,4.0,4.0,4.0,66.0,15.0
2015,43907.0,43907118.0,540.0,10.0,4.0,219.0,194.0,24.0,405.0,55.0
2015,116903.0,116903104.0,332.0,29.0,4.0,49.0,4.0,49.0,225.0,38.0
2015,57905.0,57905163.0,494.0,46.0,4.0,168.0,164.0,4.0,443.0,36.0
2015,101903.0,101903045.0,1267.0,101.0,94.0,125.0,4.0,120.0,935.0,76.0
2015,101912.0,101912102.0,341.0,11.0,4.0,53.0,37.0,6.0,314.0,33.0
2015,152901.0,152901194.0,641.0,4.0,4.0,10.0,4.0,9.0,613.0,83.0
2015,101902.0,101902001.0,2405.0,83.0,2177.0,402.0,4.0,394.0,1920.0,150.0
2015,101902.0,101902041.0,974.0,38.0,469.0,239.0,4.0,234.0,756.0,66.0
2015,101902.0,101902081.0,791.0,19.0,608.0,131.0,4.0,123.0,558.0,38.0
2015,43910.0,43910106.0,508.0,42.0,4.0,89.0,4.0,89.0,95.0,47.0
2015,184907.0,184907001.0,1193.0,104.0,713.0,13.0,4.0,13.0,85.0,69.0
2015,184907.0,184907041.0,804.0,83.0,29.0,11.0,4.0,11.0,102.0,59.0
2015,57905.0,57905206.0,535.0,93.0,4.0,283.0,337.0,4.0,428.0,31.0
2015,57905.0,57905058.0,914.0,245.0,112.0,392.0,4.0,334.0,802.0,66.0
2015,101903.0,101903114.0,842.0,18.0,4.0,460.0,311.0,167.0,675.0,51.0
2015,20908.0,20908115.0,691.0,26.0,4.0,6.0,4.0,4.0,161.0,77.0
2015,71904.0,71904104.0,554.0,24.0,4.0,337.0,280.0,4.0,533.0,56.0
2015,108904.0,108904129.0,571.0,21.0,4.0,228.0,223.0,5.0,468.0,26.0
2015,108909.0,108909112.0,670.0,63.0,4.0,294.0,293.0,4.0,532.0,43.0
2015,220905.0,220905101.0,395.0,79.0,4.0,22.0,4.0,22.0,61.0,23.0
2015,220905.0,220905220.0,737.0,39.0,4.0,507.0,469.0,5.0,684.0,39.0
2015,125901.0,125901001.0,1408.0,148.0,1305.0,41.0,4.0,37.0,848.0,115.0
2015,101905.0,101905041.0,1048.0,27.0,285.0,221.0,4.0,210.0,878.0,98.0
2015,220908.0,220908101.0,494.0,13.0,4.0,211.0,185.0,26.0,339.0,33.0
2015,71905.0,71905138.0,785.0,101.0,42.0,351.0,759.0,4.0,585.0,59.0
2015,101903.0,101903012.0,435.0,59.0,121.0,6.0,4.0,6.0,349.0,5.0
2015,101903.0,101903047.0,9.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0
2015,101903.0,101903005.0,168.0,4.0,64.0,40.0,4.0,40.0,132.0,20.0
2015,101903.0,101903205.0,46.0,4.0,4.0,13.0,6.0,7.0,38.0,4.0
2015,101903.0,101903041.0,994.0,39.0,90.0,366.0,4.0,337.0,825.0,87.0
2015,101815.0,101815101.0,296.0,4.0,4.0,221.0,4.0,220.0,176.0,14.0
2015,10902.0,10902101.0,576.0,15.0,4.0,52.0,4.0,48.0,363.0,71.0
2015,108909.0,108909130.0,659.0,34.0,4.0,271.0,272.0,4.0,554.0,39.0
2015,15915.0,15915106.0,576.0,29.0,4.0,174.0,169.0,4.0,524.0,69.0
2015,43905.0,43905129.0,614.0,42.0,4.0,36.0,4.0,34.0,61.0,66.0
2015,178904.0,178904101.0,385.0,4.0,4.0,65.0,64.0,4.0,369.0,24.0
2015,43901.0,43901001.0,4536.0,709.0,2706.0,117.0,4.0,117.0,623.0,399.0
2015,220902.0,220902105.0,426.0,17.0,4.0,69.0,4.0,65.0,273.0,34.0
2015,227901.0,227901101.0,487.0,4.0,4.0,207.0,185.0,18.0,466.0,41.0
2015,94902.0,94902002.0,89.0,4.0,40.0,4.0,4.0,4.0,33.0,14.0
2015,101912.0,101912104.0,819.0,160.0,4.0,372.0,325.0,4.0,653.0,45.0
2015,235902.0,235902101.0,482.0,15.0,4.0,28.0,4.0,26.0,272.0,48.0
2015,15905.0,15905106.0,574.0,16.0,4.0,128.0,126.0,4.0,552.0,43.0
2015,170906.0,170906012.0,79.0,4.0,30.0,4.0,4.0,4.0,34.0,5.0
2015,15822.0,15822002.0,222.0,7.0,4.0,24.0,4.0,22.0,185.0,24.0
2015,57832.0,57832001.0,157.0,4.0,15.0,4.0,4.0,4.0,134.0,14.0
2015,22901.0,22901101.0,432.0,15.0,4.0,52.0,4.0,50.0,247.0,25.0
2015,22901.0,22901001.0,272.0,28.0,237.0,7.0,4.0,6.0,105.0,25.0
2015,22901.0,22901041.0,309.0,34.0,59.0,24.0,4.0,23.0,139.0,35.0
2015,226903.0,226903101.0,320.0,4.0,4.0,35.0,35.0,4.0,255.0,21.0
2015,71902.0,71902102.0,352.0,5.0,4.0,206.0,197.0,4.0,340.0,32.0
2015,161914.0,161914101.0,520.0,19.0,4.0,123.0,57.0,61.0,481.0,20.0
2015,220918.0,220918003.0,30.0,4.0,12.0,4.0,4.0,4.0,18.0,4.0
2015,68901.0,68901004.0,85.0,4.0,33.0,11.0,4.0,11.0,45.0,17.0
2015,220908.0,220908006.0,103.0,4.0,73.0,5.0,4.0,5.0,42.0,4.0
2015,220916.0,220916004.0,32.0,4.0,4.0,4.0,4.0,4.0,19.0,4.0
2015,15910.0,15910012.0,62.0,4.0,4.0,5.0,4.0,5.0,40.0,7.0
2015,126906.0,126906002.0,10.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0
2015,147902.0,147902002.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
2015,15910.0,15910053.0,28.0,4.0,4.0,4.0,4.0,4.0,22.0,9.0
2015,15916.0,15916005.0,46.0,4.0,5.0,4.0,4.0,4.0,27.0,9.0
2015,86901.0,86901002.0,17.0,4.0,4.0,4.0,4.0,4.0,10.0,4.0
2015,123908.0,123908002.0,10.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0
2015,15905.0,15905042.0,31.0,4.0,4.0,7.0,4.0,4.0,30.0,5.0
2015,15910.0,15910160.0,10.0,4.0,4.0,4.0,4.0,4.0,7.0,5.0
2015,15915.0,15915008.0,89.0,4.0,52.0,4.0,4.0,4.0,55.0,19.0
2015,79901.0,79901004.0,60.0,4.0,23.0,8.0,4.0,8.0,46.0,10.0
2015,227901.0,227901012.0,166.0,9.0,4.0,36.0,4.0,36.0,134.0,31.0
2015,15915.0,15915062.0,12.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0
2015,15915.0,15915061.0,28.0,4.0,4.0,4.0,4.0,4.0,24.0,4.0
2015,15908.0,15908039.0,34.0,4.0,10.0,4.0,4.0,4.0,28.0,4.0
2015,36902.0,36902005.0,-9999999.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2015,247906.0,247906002.0,6.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0
2015,214901.0,214901110.0,622.0,61.0,4.0,572.0,572.0,4.0,619.0,35.0
2015,37901.0,37901101.0,266.0,9.0,4.0,71.0,4.0,69.0,192.0,19.0
2015,37901.0,37901001.0,194.0,9.0,184.0,5.0,4.0,4.0,105.0,25.0
2015,37901.0,37901041.0,186.0,17.0,37.0,23.0,4.0,20.0,109.0,25.0
2015,21902.0,21902117.0,380.0,57.0,4.0,14.0,4.0,10.0,151.0,37.0
2015,43901.0,43901102.0,718.0,44.0,4.0,273.0,233.0,40.0,489.0,79.0
2015,108908.0,108908107.0,477.0,29.0,4.0,242.0,231.0,4.0,435.0,28.0
2015,239901.0,239901101.0,556.0,4.0,4.0,93.0,4.0,91.0,460.0,61.0
2015,108908.0,108908043.0,919.0,118.0,135.0,262.0,4.0,257.0,847.0,64.0
2015,126901.0,126901102.0,397.0,16.0,4.0,23.0,4.0,21.0,225.0,34.0
2015,126901.0,126901101.0,416.0,10.0,4.0,108.0,103.0,4.0,295.0,28.0
2015,126901.0,126901001.0,1033.0,88.0,776.0,35.0,4.0,33.0,524.0,89.0
2015,126901.0,126901104.0,788.0,62.0,4.0,109.0,68.0,39.0,499.0,49.0
2015,126901.0,126901041.0,508.0,56.0,4.0,23.0,4.0,21.0,286.0,33.0
2015,108906.0,108906101.0,513.0,12.0,4.0,286.0,353.0,5.0,482.0,39.0
2015,20901.0,20901101.0,515.0,28.0,4.0,164.0,140.0,23.0,324.0,51.0
2015,20901.0,20901001.0,2573.0,299.0,1601.0,97.0,4.0,92.0,1223.0,276.0
2015,20901.0,20901041.0,743.0,79.0,126.0,56.0,4.0,54.0,381.0,102.0
2015,20901.0,20901102.0,647.0,15.0,4.0,244.0,202.0,40.0,429.0,52.0
2015,43901.0,43901105.0,533.0,56.0,4.0,46.0,4.0,45.0,100.0,90.0
2015,249901.0,249901101.0,327.0,24.0,4.0,19.0,4.0,19.0,122.0,31.0
2015,249901.0,249901001.0,209.0,28.0,208.0,6.0,4.0,6.0,46.0,18.0
2015,249901.0,249901041.0,156.0,16.0,4.0,5.0,4.0,5.0,54.0,13.0
2015,31912.0,31912005.0,25.0,4.0,21.0,4.0,4.0,4.0,7.0,4.0
2015,108909.0,108909118.0,647.0,22.0,4.0,355.0,343.0,4.0,591.0,40.0
2015,199901.0,199901103.0,571.0,21.0,4.0,152.0,85.0,64.0,311.0,43.0
2015,188901.0,188901003.0,15.0,4.0,15.0,4.0,4.0,4.0,4.0,4.0
2015,188901.0,188901001.0,2199.0,279.0,1344.0,9.0,4.0,9.0,400.0,140.0
2015,84804.0,84804101.0,308.0,31.0,4.0,4.0,4.0,4.0,258.0,18.0
2015,57906.0,57906104.0,678.0,40.0,4.0,171.0,136.0,33.0,584.0,44.0
2015,57905.0,57905140.0,204.0,18.0,4.0,94.0,94.0,4.0,172.0,19.0
2015,123910.0,123910101.0,756.0,25.0,4.0,70.0,4.0,64.0,603.0,49.0
2015,71909.0,71909004.0,2332.0,240.0,1891.0,168.0,4.0,147.0,1342.0,174.0
2015,140901.0,140901001.0,160.0,4.0,52.0,52.0,4.0,51.0,131.0,23.0
2015,31906.0,31906003.0,13.0,4.0,13.0,4.0,4.0,4.0,4.0,6.0
2015,101819.0,101819001.0,500.0,4.0,4.0,461.0,387.0,85.0,493.0,21.0
2015,220901.0,220901124.0,599.0,24.0,4.0,234.0,44.0,190.0,511.0,71.0
2015,240903.0,240903114.0,580.0,122.0,4.0,284.0,340.0,4.0,438.0,45.0
2015,199901.0,199901106.0,781.0,46.0,4.0,6.0,4.0,6.0,45.0,51.0
2015,36901.0,36901101.0,564.0,53.0,4.0,91.0,4.0,91.0,335.0,36.0
2015,36901.0,36901001.0,362.0,26.0,303.0,8.0,4.0,8.0,160.0,28.0
2015,36901.0,36901041.0,291.0,22.0,4.0,10.0,4.0,10.0,154.0,30.0
2015,101902.0,101902101.0,698.0,60.0,4.0,156.0,129.0,21.0,586.0,24.0
2015,3903.0,3903120.0,302.0,4.0,4.0,45.0,4.0,45.0,220.0,42.0
2015,43905.0,43905105.0,684.0,79.0,4.0,59.0,4.0,59.0,71.0,62.0
2015,101912.0,101912105.0,670.0,47.0,4.0,432.0,425.0,17.0,552.0,39.0
2015,101919.0,101919109.0,604.0,26.0,4.0,123.0,81.0,41.0,374.0,50.0
2015,170902.0,170902101.0,673.0,5.0,4.0,416.0,376.0,29.0,579.0,73.0
2015,220901.0,220901160.0,859.0,5.0,4.0,522.0,405.0,116.0,796.0,46.0
2015,227901.0,227901009.0,2224.0,205.0,1106.0,109.0,4.0,100.0,594.0,147.0
2015,246909.0,246909109.0,474.0,18.0,4.0,124.0,108.0,37.0,265.0,35.0
2015,93901.0,93901101.0,391.0,18.0,4.0,27.0,4.0,27.0,171.0,27.0
2015,93901.0,93901001.0,432.0,43.0,266.0,15.0,4.0,15.0,161.0,35.0
2015,101907.0,101907146.0,1235.0,13.0,4.0,383.0,226.0,142.0,968.0,98.0
2015,71902.0,71902001.0,1722.0,164.0,1163.0,90.0,4.0,61.0,982.0,169.0
2015,57910.0,57910045.0,1128.0,94.0,4.0,222.0,4.0,196.0,832.0,116.0
2015,2901.0,2901002.0,39.0,4.0,23.0,4.0,4.0,4.0,11.0,4.0
2015,43910.0,43910140.0,699.0,230.0,4.0,104.0,4.0,99.0,24.0,43.0
2015,205902.0,205902104.0,348.0,17.0,4.0,35.0,4.0,34.0,166.0,38.0
2015,227901.0,227901102.0,657.0,12.0,4.0,458.0,411.0,46.0,640.0,63.0
2015,2901.0,2901001.0,995.0,43.0,844.0,58.0,4.0,44.0,244.0,60.0
2015,2901.0,2901041.0,924.0,51.0,4.0,88.0,4.0,37.0,326.0,72.0
2015,101919.0,101919003.0,2855.0,339.0,2517.0,246.0,4.0,244.0,2074.0,267.0
2015,31912.0,31912117.0,505.0,5.0,4.0,309.0,249.0,4.0,406.0,25.0
2015,20902.0,20902001.0,1926.0,86.0,1432.0,42.0,4.0,39.0,946.0,154.0
2015,20902.0,20902044.0,1461.0,86.0,4.0,94.0,4.0,86.0,909.0,116.0
2015,199902.0,199902104.0,506.0,38.0,4.0,38.0,4.0,38.0,195.0,33.0
2015,126902.0,126902110.0,658.0,23.0,4.0,45.0,4.0,42.0,361.0,63.0
2015,71904.0,71904041.0,574.0,42.0,326.0,170.0,4.0,150.0,572.0,49.0
