YEAR,CAMPUS ID,HIGH SCHOOL STUDENTS,NOT FOUND,NOT TRACKABLE
2015,15907003.0,323,162,22
2015,,0,0,0
2015,15907004.0,82,20,1
2015,,0,0,0
2015,15907005.0,302,171,10
2015,,0,0,0
2015,15907006.0,182,108,7
2015,,0,0,0
2015,15907007.0,348,180,14
2015,,0,0,0
2015,15907008.0,338,203,15
2015,,0,0,0
2015,15907014.0,56,47,3
2015,,0,0,0
2015,15907022.0,76,19,0
2015,,0,0,0
2015,15907023.0,28,8,0
2015,,0,0,0
2015,15827001.0,35,15,0
2015,,0,0,0
2015,15909001.0,224,136,5
2015,,0,0,0
2015,15908001.0,514,279,14
2015,,0,0,0
2015,15917001.0,274,151,4
2015,,0,0,0
2015,15912011.0,68,60,1
2015,,0,0,0
2015,15912001.0,744,411,19
2015,,0,0,0
2015,15807005.0,33,22,1
2015,,0,0,0
2015,15807004.0,41,34,1
2015,,0,0,0
2015,16902001.0,69,30,1
2015,,0,0,0
2015,16901001.0,49,19,2
2015,,0,0,0
2015,18901001.0,78,28,0
2015,,0,0,0
2015,18902001.0,31,13,2
2015,,0,0,0
2015,18904001.0,40,13,3
2015,,0,0,0
2015,19901001.0,62,37,1
2015,,0,0,0
2015,19902002.0,66,41,0
2015,,0,0,0
2015,19908001.0,140,96,1
2015,,0,0,0
2015,19905001.0,100,57,0
2015,,0,0,0
2015,19912001.0,152,97,2
2015,,0,0,0
2015,19906001.0,71,42,0
2015,,0,0,0
2015,19909001.0,41,24,0
2015,,0,0,0
2015,19907003.0,66,55,0
2015,,0,0,0
2015,19907002.0,370,217,7
2015,,0,0,0
2015,20901001.0,499,228,18
2015,,0,0,0
2015,20901005.0,112,89,9
2015,,0,0,0
2015,20901002.0,583,242,20
2015,,0,0,0
2015,20902001.0,412,204,15
2015,,0,0,0
2015,20905001.0,219,122,17
2015,,0,0,0
2015,20905002.0,554,206,8
2015,,0,0,0
2015,20907001.0,175,81,5
2015,,0,0,0
2015,20904001.0,55,21,0
2015,,0,0,0
2015,20908007.0,466,165,17
2015,,0,0,0
2015,20908004.0,120,103,7
2015,,0,0,0
2015,20908001.0,645,231,18
2015,,0,0,0
2015,20908009.0,157,52,14
2015,,0,0,0
2015,20906002.0,118,55,3
2015,,0,0,0
2015,21902003.0,67,17,3
2015,,0,0,0
2015,21902002.0,269,132,16
2015,,0,0,0
2015,21902017.0,172,135,26
2015,,0,0,0
2015,21902001.0,359,175,31
2015,,0,0,0
2015,21901001.0,407,146,16
2015,,0,0,0
2015,21901002.0,36,31,0
2015,,0,0,0
2015,21901003.0,348,110,18
2015,,0,0,0
2015,22901001.0,59,19,1
2015,,0,0,0
2015,24901001.0,88,41,1
2015,,0,0,0
2015,25901001.0,75,42,2
2015,,0,0,0
2015,25902003.0,34,34,0
2015,,0,0,0
2015,25902001.0,178,96,3
2015,,0,0,0
2015,25909001.0,68,21,0
2015,,0,0,0
2015,26901001.0,116,52,6
2015,,0,0,0
2015,26903002.0,30,12,0
2015,,0,0,0
2015,26902001.0,30,17,1
2015,,0,0,0
2015,27903001.0,184,86,1
2015,,0,0,0
2015,27903003.0,40,35,0
2015,,0,0,0
2015,27904002.0,33,30,0
2015,,0,0,0
2015,27904001.0,229,99,6
2015,,0,0,0
2015,28902001.0,296,192,13
2015,,0,0,0
2015,28902038.0,26,25,1
2015,,0,0,0
2015,28903001.0,85,49,3
2015,,0,0,0
2015,29901001.0,233,106,4
2015,,0,0,0
2015,29901003.0,45,44,0
2015,,0,0,0
2015,30902001.0,79,31,0
2015,,0,0,0
2015,30906001.0,34,14,0
2015,,0,0,0
2015,31901008.0,48,9,4
2015,,0,0,0
2015,31901001.0,595,256,26
2015,,0,0,0
2015,31901007.0,404,227,17
2015,,0,0,0
2015,31901003.0,392,219,31
2015,,0,0,0
2015,31901002.0,430,230,52
2015,,0,0,0
2015,31901004.0,466,192,21
2015,,0,0,0
2015,31901009.0,516,174,23
2015,,0,0,0
2015,31903005.0,52,16,0
2015,,0,0,0
2015,31903001.0,551,297,23
2015,,0,0,0
2015,31903002.0,443,196,10
2015,,0,0,0
2015,31903003.0,66,53,5
2015,,0,0,0
2015,31905002.0,33,31,2
2015,,0,0,0
2015,31905001.0,172,65,8
2015,,0,0,0
2015,31906001.0,605,262,12
2015,,0,0,0
2015,31909001.0,123,54,13
2015,,0,0,0
2015,31911001.0,137,66,4
2015,,0,0,0
2015,31912009.0,76,59,6
2015,,0,0,0
2015,31912001.0,604,286,26
2015,,0,0,0
2015,31913001.0,43,22,5
2015,,0,0,0
2015,31914001.0,77,37,2
2015,,0,0,0
2015,31916003.0,108,18,3
2015,,0,0,0
2015,31916001.0,143,29,2
2015,,0,0,0
2015,31916004.0,201,28,2
2015,,0,0,0
2015,31916005.0,174,39,1
2015,,0,0,0
2015,32902002.0,154,89,9
2015,,0,0,0
2015,33902001.0,47,29,0
2015,,0,0,0
2015,34901001.0,132,91,0
2015,,0,0,0
2015,34903001.0,64,28,0
2015,,0,0,0
2015,34905002.0,53,31,3
2015,,0,0,0
2015,34907001.0,77,47,0
2015,,0,0,0
2015,35901001.0,81,37,5
2015,,0,0,0
2015,36901001.0,81,34,4
2015,,0,0,0
2015,36902001.0,318,97,3
2015,,0,0,0
2015,36903001.0,81,27,5
2015,,0,0,0
2015,37901001.0,54,21,4
2015,,0,0,0
2015,37904002.0,240,122,40
2015,,0,0,0
2015,37908001.0,26,11,5
2015,,0,0,0
2015,37907002.0,123,52,3
2015,,0,0,0
2015,38901001.0,77,40,0
2015,,0,0,0
2015,39902001.0,70,36,1
2015,,0,0,0
2015,39903001.0,40,19,0
2015,,0,0,0
2015,42901001.0,63,33,0
2015,,0,0,0
2015,43901001.0,"1,365",568,39
2015,,0,0,0
2015,43902001.0,142,68,6
2015,,0,0,0
2015,43917001.0,49,21,0
2015,,0,0,0
2015,43903001.0,152,74,9
2015,,0,0,0
2015,43918001.0,103,55,2
2015,,0,0,0
2015,43904001.0,111,51,5
2015,,0,0,0
2015,43905002.0,526,169,12
2015,,0,0,0
2015,43905001.0,454,179,23
2015,,0,0,0
2015,43905007.0,436,139,15
2015,,0,0,0
2015,43905006.0,530,215,23
2015,,0,0,0
2015,43905008.0,305,129,10
2015,,0,0,0
2015,43905005.0,456,179,10
2015,,0,0,0
2015,43919001.0,258,116,8
2015,,0,0,0
2015,43907007.0,681,281,34
2015,,0,0,0
2015,43907002.0,513,216,29
2015,,0,0,0
2015,43907004.0,456,214,22
2015,,0,0,0
2015,43908001.0,131,70,2
2015,,0,0,0
2015,43910006.0,"1,129",359,91
2015,,0,0,0
2015,43910001.0,"1,280",439,71
2015,,0,0,0
2015,43910010.0,"1,452",519,90
2015,,0,0,0
2015,43911001.0,221,137,17
2015,,0,0,0
2015,43912001.0,407,172,7
2015,,0,0,0
2015,43914004.0,71,53,8
2015,,0,0,0
2015,43914003.0,346,138,13
2015,,0,0,0
2015,43914001.0,441,148,17
2015,,0,0,0
2015,44902001.0,39,15,0
2015,,0,0,0
2015,45902001.0,111,37,4
2015,,0,0,0
2015,45903001.0,70,27,4
2015,,0,0,0
2015,45905002.0,52,17,0
2015,,0,0,0
2015,46902001.0,530,265,17
2015,,0,0,0
2015,46902003.0,201,113,5
2015,,0,0,0
2015,46902201.0,80,71,2
2015,,0,0,0
2015,46902007.0,38,14,1
2015,,0,0,0
2015,46902002.0,531,211,9
2015,,0,0,0
2015,46901001.0,526,249,9
2015,,0,0,0
2015,46901038.0,104,82,6
2015,,0,0,0
2015,47901001.0,71,36,1
2015,,0,0,0
2015,47902001.0,35,11,0
2015,,0,0,0
2015,49905001.0,87,42,1
2015,,0,0,0
2015,49906001.0,41,12,0
2015,,0,0,0
2015,49901001.0,152,75,15
2015,,0,0,0
2015,49907001.0,40,15,0
2015,,0,0,0
2015,49902001.0,30,3,0
2015,,0,0,0
2015,49903001.0,49,22,1
2015,,0,0,0
2015,50910001.0,497,269,2
2015,,0,0,0
2015,50910005.0,49,41,1
2015,,0,0,0
2015,50902001.0,186,95,4
2015,,0,0,0
2015,52901001.0,57,24,1
2015,,0,0,0
2015,53001001.0,42,23,4
2015,,0,0,0
2015,54903001.0,32,20,0
2015,,0,0,0
2015,56901001.0,107,57,9
2015,,0,0,0
2015,57829001.0,85,36,7
2015,,0,0,0
2015,57903006.0,467,190,39
2015,,0,0,0
2015,57903010.0,74,21,6
2015,,0,0,0
2015,57903003.0,55,38,10
2015,,0,0,0
2015,57903007.0,177,60,11
2015,,0,0,0
2015,57903002.0,400,163,24
2015,,0,0,0
2015,57903001.0,469,198,50
2015,,0,0,0
2015,57904003.0,72,18,0
2015,,0,0,0
2015,57904001.0,541,253,10
2015,,0,0,0
2015,57922001.0,752,263,39
2015,,0,0,0
2015,57922003.0,101,41,0
2015,,0,0,0
2015,57804006.0,163,121,26
2015,,0,0,0
2015,57804005.0,97,87,3
2015,,0,0,0
2015,57804003.0,103,59,30
2015,,0,0,0
2015,57804004.0,225,168,29
2015,,0,0,0
2015,57804001.0,202,153,33
2015,,0,0,0
2015,57804002.0,391,277,66
2015,,0,0,0
2015,57804007.0,135,113,16
2015,,0,0,0
2015,57804008.0,77,58,14
2015,,0,0,0
2015,57804010.0,106,76,18
2015,,0,0,0
2015,57804009.0,120,102,6
2015,,0,0,0
2015,57804011.0,77,67,4
