YEAR,CAMPUS ID,CAMPUS NAME,DISTRICT ID,SAT PARTICIPATION RATE,SAT MATH,SAT ERW
2015,15907005,Highlands H S,15907,57.9,407.0,390.0
2015,15907006,Houston H S,15907,65.9,385.0,374.0
2015,15907007,Jefferson H S,15907,69.3,398.0,398.0
2015,15907008,Lanier H S,15907,58.9,372.0,373.0
2015,15907014,Navarro Academy,15907,1.8,,
2015,15907022,Travis Early College H S,15907,100.0,466.0,471.0
2015,15907023,Young Women's Leadership Academy,15907,100.0,491.0,484.0
2015,15908001,South San Antonio H S,15908,46.9,427.0,420.0
2015,15909001,Somerset H S,15909,58.5,423.0,406.0
2015,15910001,Lee H S,15910,60.8,488.0,486.0
2015,15910002,Macarthur H S,15910,60.4,498.0,494.0
2015,15910003,Churchill H S,15910,73.4,513.0,518.0
2015,15910004,Roosevelt H S,15910,68.5,465.0,457.0
2015,15910005,Madison H S,15910,61.8,472.0,471.0
2015,15910007,Reagan H S,15910,86.6,553.0,539.0
2015,15910008,Academy Of Creative Ed,15910,3.8,504.0,526.0
2015,15910009,International School Of America,15910,90.0,536.0,553.0
2015,15910014,Johnson H S,15910,79.6,539.0,524.0
2015,15911001,East Central H S,15911,50.9,464.0,450.0
2015,15912001,Southwest H S,15912,100.0,397.0,377.0
2015,15912011,Southwest Academy,15912,88.1,329.0,327.0
2015,15913001,Virginia Allred Stacey Jr/Sr H S,15913,28.9,507.0,525.0
2015,15914001,Robert G Cole Middle/High School,15914,87.6,497.0,493.0
2015,15915001,Holmes H S,15915,64.1,440.0,433.0
2015,15915002,Jay H S,15915,47.3,492.0,474.0
2015,15915003,Marshall H S,15915,60.6,487.0,474.0
2015,15915005,Clark H S,15915,72.6,518.0,509.0
2015,15915006,Health Careers H S,15915,92.9,580.0,556.0
2015,15915007,Taft H S,15915,61.6,486.0,485.0
2015,15915008,Alternative H S,15915,,,
2015,15915011,Chavez Excel Academy,15915,0.3,,
2015,15915016,O'Connor H S,15915,66.1,512.0,499.0
2015,15915019,Warren H S,15915,63.3,487.0,473.0
