YEAR,CAMPUS ID,CAMPUS NAME,DISTRICT ID,AP PARTICIPATION RATE
2015,29901003,Hope H S,29901,4.8
2015,30902001,Clyde H S,30902,4.9
2015,31901001,Hanna H S,31901,35.9
2015,31901002,Porter H S,31901,24.2
2015,31901003,Pace H S,31901,35.4
2015,31901004,Rivera H S,31901,22.4
2015,31901007,Lopez H S,31901,17.3
2015,31901009,Veterans Memorial H S,31901,49.8
2015,31903001,Harlingen H S,31903,23.2
2015,31903002,Harlingen H S - South,31903,22.0
2015,31903005,Early College H S,31903,5.1
2015,31905001,La Feria H S,31905,25.7
2015,31906001,Los Fresnos H S,31906,13.7
2015,31909001,Port Isabel H S,31909,36.6
2015,31911001,Rio Hondo H S,31911,28.2
2015,31912001,San Benito H S,31912,18.0
2015,31913001,Santa Maria H S,31913,31.5
2015,31914001,Santa Rosa H S,31914,32.5
2015,31916001,South Texas Business Education & T,31916,69.4
2015,31916003,South Texas Academy For Medical Pr,31916,92.6
2015,31916004,South Texas H S For Health Profess,31916,80.7
2015,31916005,The Science Academy Of South Texas,31916,85.8
2015,32902002,Pittsburg H S,32902,9.3
2015,33904001,White Deer H S,33904,2.1
2015,34901001,Atlanta H S,34901,0.7
2015,35901001,Dimmitt H S,35901,6.1
2015,36901001,Anahuac H S,36901,25.9
2015,36902001,Barbers Hill H S,36902,27.0
2015,36903001,East Chambers H S,36903,2.2
2015,37904002,Jacksonville H S,37904,5.0
2015,37907002,Rusk H S,37907,0.8
2015,39902001,Henrietta H S,39902,4.8
2015,39904001,Bellevue School,39904,18.2
2015,40902001,Whiteface H S,40902,25.6
2015,41901001,Bronte H S,41901,12.8
2015,41902001,Robert Lee H S,41902,3.2
2015,43801001,Imagine International Academy Of N,43801,34.3
2015,43901001,Allen H S,43901,31.7
2015,43901002,Lowery Freshman Center,43901,
2015,43902001,Anna H S,43902,11.5
2015,43903001,Celina H S,43903,27.8
2015,43904001,Farmersville H S,43904,6.4
2015,43905001,Frisco H S,43905,38.1
2015,43905002,Centennial H S,43905,40.1
2015,43905005,Wakeland H S,43905,44.2
2015,43905006,Liberty H S,43905,42.4
2015,43905007,Heritage H S,43905,35.5
2015,43905008,Lone Star H S,43905,35.6
2015,43905009,Independence H S,43905,46.3
2015,43905050,Scoggins Middle,43905,
2015,43907002,McKinney H S,43907,51.7
2015,43907004,McKinney North H S,43907,53.7
2015,43907005,Serenity High,43907,25.0
2015,43907007,McKinney Boyd H S,43907,52.8
2015,43908001,Melissa H S,43908,24.3
2015,43910001,Plano Sr H S,43910,44.4
2015,43910003,Williams H S,43910,25.0
2015,43910005,Clark H S,43910,
2015,43910006,Plano East Sr H S,43910,38.5
2015,43910008,Plano ISD Academy H S,43910,8.1
2015,43910009,Jasper H S,43910,100.0
2015,43910010,Plano West Senior H S,43910,51.4
2015,43910052,Frankford Middle,43910,
2015,43911001,Princeton H S,43911,4.3
2015,43912001,Prosper H S,43912,39.2
2015,43914001,Wylie H S,43914,25.5
2015,43914003,Wylie East H S,43914,23.4
2015,43917001,Blue Ridge H S,43917,1.1
2015,43918001,Community H S,43918,14.2
2015,43919001,Lovejoy H S,43919,63.7
2015,45902001,Columbus H S,45902,9.3
2015,45903001,Rice H S,45903,3.3
2015,46901001,New Braunfels H S,46901,25.2
2015,46902001,Canyon H S,46902,26.2
2015,46902002,Smithson Valley H S,46902,38.6
2015,46902003,Canyon Lake H S,46902,31.8
2015,46902007,Memorial Early College H S With St,46902,27.2
2015,46902201,Comal Academy,46902,5.0
2015,47901001,Comanche H S,47901,27.9
2015,48903001,Paint Rock School,48903,2.6
2015,49901001,Gainesville H S,49901,5.9
2015,49902001,Muenster H S,49902,11.4
2015,49903001,Valley View H S,49903,9.2
2015,49905001,Callisburg H S,49905,15.5
2015,49907001,Lindsay H S,49907,41.6
2015,50902001,Gatesville H S,50902,7.1
2015,50909001,Jonesboro School,50909,4.3
2015,50910001,Copperas Cove H S,50910,16.4
2015,52901001,Crane High School,52901,5.4
2015,53001001,Ozona H S,53001,22.7
2015,54901001,Crosbyton Secondary,54901,2.1
2015,54902001,Lorenzo H S,54902,9.4
2015,54903001,Ralls H S,54903,9.0
2015,56901001,Dalhart H S,56901,0.9
2015,57802001,Pegasus Charter H S,57802,3.8
2015,57803002,Uplift Education-North Hills Prep,57803,68.2
2015,57804004,Dallas Can Academy At Pleasant Gro,57804,0.4
2015,57804007,Fort Worth Can Academy - Campus Dr,57804,0.5
2015,57804011,San Antonio Can Academy,57804,1.6
2015,57807001,Life School Oak Cliff,57807,10.9
2015,57807101,Life School Red Oak,57807,11.2
2015,57815001,Faith Family Academy Of Oak Cliff,57815,0.6
2015,57829001,A+ Academy,57829,22.8
2015,57830002,Inspired Vision Academy Middle,57830,26.9
2015,57831002,Gateway Charter Academy - Middle -,57831,1.4
2015,57833002,Education Center International Aca,57833,
2015,57838006,Uplift Education-Peak Prep H S,57838,76.4
2015,57838010,Uplift Education - Uplift Luna Sec,57838,94.9
2015,57842001,Uplift Education-Williams Prep H S,57842,86.3
2015,57843001,Uplift Education-Hampton Prep H S,57843,74.6
2015,57848003,International Leadership Of Texas,57848,5.5
2015,57903001,Turner H S,57903,34.4
2015,57903002,Smith H S,57903,32.9
2015,57903003,Grimes Education Center,57903,1.4
2015,57903006,Creekview H S,57903,39.5
2015,57903007,Ranchview H S,57903,3.0
2015,57903010,Early College H S,57903,25.2
2015,57904001,Cedar Hill H S,57904,16.4
2015,57905001,Bryan Adams H S,57905,38.5
2015,57905002,W H Adamson H S,57905,26.8
2015,57905003,A Maceo Smith New Tech H S,57905,75.4
2015,57905005,Moises E Molina H S,57905,39.3
2015,57905006,Hillcrest H S,57905,38.5
2015,57905007,Thomas Jefferson H S,57905,25.5
2015,57905008,Justin F Kimball H S,57905,22.4
2015,57905009,Lincoln Humanities/Communications,57905,45.2
2015,57905012,L G Pinkston H S,57905,23.6
2015,57905013,Franklin D Roosevelt H S,57905,33.8
2015,57905014,W W Samuell H S,57905,30.8
2015,57905015,Seagoville H S,57905,28.1
2015,57905016,South Oak Cliff H S,57905,18.1
2015,57905017,H Grady Spruce H S,57905,23.2
2015,57905018,Sunset H S,57905,39.8
2015,57905021,W T White H S,57905,36.8
2015,57905022,Woodrow Wilson H S,57905,47.4
2015,57905023,David W Carter H S,57905,18.6
2015,57905024,North Dallas H S,57905,31.2
2015,57905025,Skyline H S,57905,26.4
2015,57905026,School Of Science And Engineering,57905,98.8
2015,57905028,Emmett J Conrad H S,57905,32.7
2015,57905032,James Madison H S,57905,20.6
2015,57905033,School Of Business And Management,57905,90.0
2015,57905034,Booker T Washington Spva Magnet,57905,94.7
2015,57905035,Irma Lerma Rangel Young Women's Le,57905,97.6
2015,57905036,School Of Health Professions,57905,93.5
2015,57905037,Rosie Sorrells Education And Socia,57905,94.4
2015,57905038,Judge Barefoot Sanders Law Magnet,57905,95.6
2015,57905039,School For The Talented And Gifted,57905,99.2
2015,57905085,Kathlyn Joy Gilliam Collegiate Aca,57905,71.2
2015,57905088,Trinidad Garza Early College At Mt,57905,54.6
2015,57905090,Dr Wright L Lassiter Jr Early Coll,57905,52.7
2015,57905380,Wilmer-Hutchins H S,57905,21.6
2015,57905381,Barack Obama Male Leadership Aca A,57905,100.0
2015,57905389,John Leslie Patton Jr Academic Cen,57905,2.6
2015,57905481,Lakehill Prep Sch,57905,
2015,57905483,Shelton Sch,57905,
2015,57906001,Desoto H S,57906,10.6
2015,57907001,Duncanville H S,57907,11.1
2015,57909002,Garland H S,57909,21.3
2015,57909003,S Garland H S,57909,20.2
2015,57909004,N Garland H S,57909,33.9
2015,57909005,Lakeview Centennial H S,57909,26.0
2015,57909006,Memorial Pathway Academy H S,57909,0.8
2015,57909008,Naaman Forest H S,57909,24.3
2015,57909009,Rowlett H S,57909,21.0
2015,57909010,Sachse H S,57909,26.2
2015,57910001,Grand Prairie Fine Arts Academy,57910,90.7
2015,57910002,Grand Prairie H S,57910,28.2
2015,57910003,South Grand Prairie H S,57910,21.2
2015,57910009,Crosswinds H S,57910,0.4
2015,57910010,John A Dubiski Career H S,57910,45.3
2015,57911001,Highland Park H S,57911,78.6
2015,57912002,Irving H S,57912,37.9
2015,57912003,Macarthur H S,57912,33.1
2015,57912004,Nimitz H S,57912,26.9
2015,57912005,Barbara Cardwell Career Preparator,57912,1.3
2015,57912006,Jack E Singley Academy,57912,54.2
2015,57913001,Lancaster H S,57913,20.6
2015,57914001,Mesquite H S,57914,18.0
2015,57914002,North Mesquite H S,57914,20.0
2015,57914003,West Mesquite H S,57914,27.1
2015,57914004,Poteet H S,57914,32.2
2015,57914005,Horn H S,57914,27.2
2015,57914656,Mesquite Academy,57914,0.6
2015,57916002,Lake Highlands H S,57916,34.4
2015,57916003,Richardson H S,57916,41.8
2015,57916004,Pearce H S,57916,48.8
2015,57916005,Berkner H S,57916,28.1
2015,57922001,Coppell H S,57922,47.9
2015,57922003,New Tech H S At Coppell,57922,23.9
2015,58906001,Lamesa H S,58906,0.5
2015,58906004,Lamesa Success Academy,58906,17.6
2015,58909001,Sands CISD,58909,5.0
2015,59901001,Hereford H S,59901,0.8
2015,61501001,Texas Academy Of Mathematics & Sci,61501,
2015,61901002,Ryan H S,61901,16.8
2015,61901003,Denton H S,61901,20.5
2015,61901007,Guyer H S,61901,36.5
2015,61901044,Strickland Middle,61901,
2015,61902001,Lewisville H S,61902,19.3
2015,61902002,Marcus H S,61902,35.5
2015,61902004,The Colony H S,61902,25.6
2015,61902008,Hebron H S,61902,36.3
2015,61902010,Flower Mound H S,61902,33.1
2015,61903001,Pilot Point H S,61903,3.6
2015,61905001,Krum H S,61905,34.3
2015,61906001,Ponder H S,61906,6.4
2015,61907001,Aubrey H S,61907,19.5
2015,61908001,Sanger H S,61908,9.0
2015,61910001,Argyle H S,61910,18.7
2015,61911001,Northwest H S,61911,30.8
2015,61911007,Byron Nelson H S,61911,40.6
2015,61912001,Lake Dallas H S,61912,15.5
2015,61914001,Little Elm H S,61914,16.3
2015,62901001,Cuero H S,62901,1.8
2015,63906001,Patton Springs School,63906,28.6
2015,64903001,Carrizo Springs H S,64903,2.6
2015,65902001,Hedley School,65902,5.6
2015,66902001,San Diego H S,66902,4.7
2015,67903001,Eastland H S,67903,3.0
2015,68901002,Odessa H S,68901,22.8
2015,68901003,Permian H S,68901,17.1
2015,68901011,New Tech Odessa,68901,18.5
2015,69902001,Nueces Canyon J H/H S,69902,2.9
2015,70903002,Ennis H S,70903,21.4
2015,70905002,Ferris H S,70905,16.9
2015,70908001,Midlothian H S,70908,24.9
2015,70911001,Red Oak H S,70911,14.4
2015,70912002,Waxahachie H S,70912,14.2
2015,71801003,Davinci School For Science And The,71801,52.1
2015,71806001,Harmony Science Acad (El Paso),71806,57.0
2015,71806002,Harmony School Of Innovation - El,71806,51.1
2015,71806004,Harmony Science Academy - Lubbock,71806,45.8
2015,71901001,Clint H S,71901,19.6
2015,71901002,Mountain View H S,71901,28.6
2015,71901004,Horizon H S,71901,13.9
2015,71902001,Andress H S,71902,19.6
2015,71902002,Austin H S,71902,13.5
2015,71902003,Bowie H S,71902,21.4
2015,71902004,Burges H S,71902,15.3
2015,71902005,Coronado H S,71902,20.6
2015,71902006,El Paso H S,71902,35.7
2015,71902008,Irvin H S,71902,19.4
2015,71902009,Jefferson H S,71902,6.7
2015,71902010,Franklin H S,71902,18.1
2015,71902011,Silva Health Magnet,71902,38.8
2015,71902012,Chapin H S,71902,25.9
2015,71902015,Transmountain Early College H S,71902,0.6
2015,71902020,College Career Technology Academy,71902,1.8
2015,71902041,Henderson Middle,71902,
2015,71903001,Fabens H S,71903,10.2
2015,71904001,San Elizario H S,71904,47.4
2015,71905001,Bel Air H S,71905,36.6
2015,71905002,Eastwood H S,71905,28.9
2015,71905003,Parkland H S,71905,41.5
2015,71905004,Ysleta H S,71905,23.2
2015,71905005,Riverside H S,71905,36.1
2015,71905007,J M Hanks H S,71905,35.3
2015,71905008,Del Valle H S,71905,26.4
2015,71905010,Tejas School Of Choice,71905,0.9
2015,71905014,Cesar Chavez Academy,71905,
2015,71905017,Valle Verde Early College H S,71905,96.3
2015,71906001,Anthony H S,71906,24.1
2015,71907001,Canutillo H S,71907,17.2
2015,71907003,Northwest Early College H S (Nwech,71907,7.5
2015,71908001,Tornillo H S,71908,9.0
2015,71909001,Socorro H S,71909,20.1
2015,71909002,Montwood H S,71909,12.2
2015,71909004,Americas H S,71909,14.4
2015,71909005,El Dorado H S,71909,14.8
2015,71909007,Mission Early College H S,71909,16.8
2015,71909008,Eastlake H S,71909,24.2
2015,72801101,Premier H S Of Abilene,72801,0.9
2015,72801104,Premier H S Of Palmview,72801,1.1
2015,72801128,Premier H S Of North Austin,72801,0.9
2015,72801130,Premier H S Of San Juan,72801,1.2
2015,72801137,Premier H S Of Granbury,72801,1.0
2015,72902001,Dublin H S,72902,6.1
2015,72903001,Stephenville H S,72903,20.1
2015,72908001,Huckabay School,72908,4.2
2015,73903001,Marlin H S,73903,0.8
2015,73905001,Rosebud-Lott H S,73905,2.8
2015,74903001,Bonham H S,74903,6.8
2015,74907001,Honey Grove H S,74907,12.0
2015,74911001,Savoy H S,74911,7.3
2015,75901001,Flatonia Secondary,75901,13.5
2015,75902001,La Grange H S,75902,21.6
2015,75903001,Schulenburg Secondary,75903,4.0
2015,75906001,Fayetteville Schools,75906,10.7
2015,77901001,Floydada H S,77901,5.7
2015,79901001,Lamar Cons H S,79901,16.5
2015,79901002,B F Terry H S,79901,5.2
2015,79901003,Foster H S,79901,20.0
2015,79901009,George Ranch H S,79901,37.9
2015,79906001,Needville H S,79906,9.8
2015,79907001,Dulles H S,79907,30.9
2015,79907002,Willowridge H S,79907,28.4
2015,79907004,Clements H S,79907,50.7
2015,79907005,Kempner H S,79907,35.2
2015,79907006,Lawrence E Elkins H S,79907,30.1
2015,79907007,Stephen F Austin H S,79907,43.9
2015,79907008,Hightower H S,79907,18.9
2015,79907011,George Bush H S,79907,19.5
2015,79907012,Thurgood Marshall H S,79907,16.9
2015,79907013,William B Travis H S,79907,29.6
2015,79907016,Ridge Point H S,79907,31.9
2015,79910001,Stafford H S,79910,14.3
2015,80901001,Mt Vernon H S,80901,4.9
2015,81902002,Fairfield H S,81902,17.2
2015,81904001,Teague H S,81904,16.2
2015,82903001,Pearsall H S,82903,2.9
2015,83901001,Seagraves Schools,83901,1.4
2015,83902001,Loop School,83902,7.1
2015,83903001,Seminole H S,83903,1.9
2015,84901001,Dickinson H S,84901,14.0
2015,84902001,Ball H S,84902,20.5
2015,84902007,Aim College & Career Prep,84902,2.6
2015,84906001,Texas City H S,84906,19.0
2015,84909001,Santa Fe H S,84909,9.4
2015,84910001,Clear Creek H S,84910,25.8
2015,84910002,Clear Lake H S,84910,39.3
2015,84910003,Clear Brook H S,84910,26.1
2015,84910009,Clear Springs H S,84910,18.1
2015,84910010,Clear Horizons Early College H S,84910,45.3
2015,84910011,Clear Falls H S,84910,26.1
2015,84911001,Friendswood H S,84911,32.2
2015,85902001,Post H S,85902,8.6
2015,86901001,Fredericksburg H S,86901,24.9
2015,86902001,Harper H S,86902,8.2
2015,88902001,Goliad H S,88902,9.7
2015,89901001,Gonzales H S,89901,8.9
2015,90904001,Pampa H S,90904,27.5
2015,91903001,Denison H S,91903,18.0
2015,91905001,Howe H S,91905,26.4
2015,91906002,Sherman H S,91906,27.7
2015,91908001,Van Alstyne H S,91908,7.1
2015,91909001,Whitesboro H S,91909,18.4
2015,91913001,Pottsboro H S,91913,24.4
2015,91914001,S And S Cons H S,91914,10.8
2015,91917001,Gunter H S,91917,21.7
2015,92901001,Gladewater H S,92901,0.4
2015,92902002,Kilgore H S,92902,10.4
2015,92903001,Longview H S,92903,22.2
2015,92904001,Pine Tree H S,92904,27.1
2015,92904003,Excel H S Of Choice,92904,2.9
2015,92907001,Spring Hill H S,92907,30.0
2015,92908001,White Oak H S,92908,9.2
2015,93901001,Anderson-Shiro Jr/Sr H S,93901,1.1
2015,93904002,Navasota H S,93904,17.2
2015,94901001,Seguin H S,94901,18.0
2015,94901002,Mercer & Blumberg Lrn Ctr,94901,0.8
2015,94902001,Samuel Clemens H S,94902,27.8
2015,94902003,Byron P Steele II H S,94902,30.6
2015,94903001,Navarro H S,94903,20.0
2015,94904001,Marion H S,94904,13.2
2015,95901001,Abernathy H S,95901,6.9
2015,95905001,Plainview H S,95905,20.4
2015,97903001,Hico H S,97903,2.3
2015,98901001,Gruver H S,98901,5.6
2015,98904001,Spearman H S,98904,28.3
2015,100904001,Silsbee H S,100904,5.4
2015,100905001,Hardin-Jefferson H S,100905,24.2
2015,100907001,Lumberton H S,100907,11.6
2015,101804001,George I Sanchez H S,101804,1.1
2015,101813003,Kipp Houston H S,101813,59.1
2015,101813004,Kipp Generations Collegiate,101813,76.8
2015,101813005,Kipp Northeast College Preparatory,101813,
2015,101813006,Kipp Sunnyside H S,101813,38.3
2015,101837001,Calvin Nelms H S,101837,1.6
2015,101838001,Southwest H S,101838,34.7
2015,101845001,Yes Prep - Southeast,101845,71.6
2015,101845002,Yes Prep - Southwest,101845,67.8
2015,101845003,Yes Prep - East End,101845,72.3
2015,101845004,Yes Prep - Gulfton,101845,57.9
2015,101845005,Yes Prep - West,101845,51.4
2015,101845006,Yes Prep - Brays Oaks,101845,60.5
2015,101845010,Yes Prep North Forest,101845,76.9
2015,101845101,Yes Prep - North Central,101845,81.2
