YEAR,CAMPUS ID,ASIAN,NATIVE AMERICAN,BLACK,HISPANIC,HAWAIIAN,TWO RACES,WHITE
2015,186902102.0,4.0,0.0,9.0,456.0,0.0,4.0,66.0
2015,15901001.0,41.0,11.0,16.0,624.0,0.0,9.0,848.0
2015,15901041.0,25.0,4.0,10.0,461.0,4.0,23.0,601.0
2015,165901041.0,24.0,0.0,70.0,532.0,0.0,8.0,157.0
2015,15822004.0,0.0,0.0,0.0,105.0,0.0,0.0,4.0
2015,108909042.0,4.0,0.0,4.0,725.0,0.0,0.0,4.0
2015,15908042.0,0.0,4.0,25.0,591.0,4.0,0.0,19.0
2015,250906101.0,4.0,4.0,4.0,46.0,0.0,4.0,391.0
2015,250906001.0,4.0,0.0,4.0,52.0,0.0,6.0,346.0
2015,209901001.0,0.0,4.0,4.0,34.0,4.0,4.0,170.0
2015,43907118.0,12.0,4.0,118.0,298.0,0.0,16.0,93.0
2015,116903104.0,8.0,4.0,71.0,68.0,4.0,14.0,167.0
2015,57905163.0,0.0,4.0,250.0,235.0,0.0,4.0,5.0
2015,101903045.0,196.0,0.0,499.0,522.0,0.0,12.0,38.0
2015,101912102.0,0.0,0.0,261.0,80.0,0.0,0.0,0.0
2015,152901194.0,0.0,4.0,357.0,260.0,0.0,4.0,16.0
2015,101902001.0,27.0,4.0,210.0,2114.0,0.0,7.0,43.0
2015,101902041.0,4.0,4.0,177.0,774.0,0.0,4.0,14.0
2015,101902081.0,6.0,4.0,63.0,710.0,0.0,4.0,9.0
2015,43910106.0,117.0,4.0,35.0,70.0,0.0,14.0,270.0
2015,184907001.0,9.0,11.0,25.0,107.0,0.0,26.0,1015.0
2015,184907041.0,9.0,6.0,17.0,85.0,0.0,16.0,671.0
2015,57905206.0,4.0,0.0,58.0,404.0,4.0,4.0,64.0
2015,57905058.0,26.0,9.0,172.0,664.0,4.0,11.0,31.0
2015,101903114.0,91.0,9.0,310.0,408.0,5.0,5.0,14.0
2015,20908115.0,30.0,4.0,70.0,201.0,0.0,16.0,372.0
2015,71904104.0,0.0,0.0,0.0,552.0,0.0,0.0,4.0
2015,108904129.0,12.0,0.0,4.0,546.0,0.0,0.0,11.0
2015,108909112.0,4.0,0.0,4.0,657.0,0.0,0.0,10.0
2015,220905101.0,10.0,4.0,25.0,112.0,0.0,15.0,230.0
2015,220905220.0,4.0,0.0,11.0,701.0,0.0,4.0,20.0
2015,125901001.0,7.0,4.0,4.0,1325.0,0.0,0.0,70.0
2015,101905041.0,9.0,7.0,118.0,816.0,0.0,7.0,91.0
2015,220908101.0,4.0,4.0,65.0,278.0,0.0,20.0,124.0
2015,71905138.0,4.0,0.0,4.0,765.0,4.0,4.0,11.0
2015,101903012.0,73.0,4.0,100.0,240.0,0.0,4.0,17.0
2015,101903047.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0
2015,101903005.0,4.0,4.0,60.0,98.0,4.0,4.0,4.0
2015,101903205.0,4.0,0.0,25.0,19.0,0.0,4.0,0.0
2015,101903041.0,185.0,4.0,171.0,611.0,4.0,4.0,21.0
2015,101815101.0,131.0,0.0,45.0,115.0,0.0,4.0,4.0
2015,10902101.0,4.0,4.0,4.0,176.0,4.0,8.0,381.0
2015,108909130.0,4.0,0.0,0.0,642.0,0.0,4.0,12.0
2015,178904101.0,0.0,0.0,10.0,348.0,0.0,0.0,27.0
2015,43905129.0,92.0,4.0,70.0,72.0,0.0,27.0,350.0
2015,15915106.0,4.0,0.0,9.0,546.0,0.0,4.0,17.0
2015,43901001.0,568.0,29.0,534.0,649.0,14.0,148.0,2594.0
2015,220902105.0,25.0,4.0,45.0,127.0,4.0,19.0,203.0
2015,227901101.0,0.0,0.0,29.0,454.0,4.0,4.0,4.0
2015,94902002.0,4.0,0.0,7.0,41.0,4.0,4.0,36.0
2015,101912104.0,9.0,4.0,180.0,609.0,0.0,5.0,14.0
2015,235902101.0,4.0,4.0,26.0,247.0,0.0,4.0,203.0
2015,15905106.0,0.0,0.0,8.0,564.0,0.0,4.0,4.0
2015,170906012.0,0.0,4.0,4.0,17.0,0.0,4.0,56.0
2015,15822002.0,4.0,0.0,19.0,180.0,0.0,0.0,22.0
2015,57832001.0,4.0,0.0,49.0,77.0,4.0,4.0,25.0
2015,22901101.0,4.0,0.0,4.0,283.0,0.0,4.0,145.0
2015,22901001.0,4.0,0.0,4.0,175.0,4.0,0.0,91.0
2015,22901041.0,4.0,0.0,4.0,198.0,0.0,8.0,99.0
2015,226903101.0,4.0,4.0,10.0,245.0,0.0,8.0,55.0
2015,161914101.0,4.0,4.0,125.0,330.0,0.0,11.0,51.0
2015,71902102.0,0.0,0.0,4.0,349.0,0.0,0.0,4.0
2015,220918003.0,0.0,0.0,7.0,14.0,0.0,4.0,8.0
2015,220908006.0,4.0,4.0,40.0,28.0,0.0,6.0,27.0
2015,68901004.0,0.0,4.0,5.0,71.0,0.0,0.0,8.0
2015,220916004.0,0.0,0.0,4.0,9.0,0.0,0.0,19.0
2015,15910012.0,0.0,0.0,14.0,35.0,0.0,4.0,12.0
2015,147902002.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0
2015,126906002.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0
2015,15910053.0,0.0,0.0,6.0,18.0,0.0,4.0,4.0
2015,123908002.0,0.0,0.0,4.0,0.0,0.0,4.0,8.0
2015,15916005.0,0.0,0.0,16.0,23.0,0.0,4.0,6.0
2015,86901002.0,0.0,4.0,0.0,10.0,0.0,0.0,6.0
2015,15905042.0,4.0,0.0,0.0,30.0,0.0,0.0,0.0
2015,15910160.0,0.0,0.0,4.0,5.0,0.0,0.0,4.0
2015,15915008.0,0.0,4.0,12.0,59.0,0.0,4.0,15.0
2015,79901004.0,0.0,4.0,15.0,39.0,0.0,0.0,4.0
2015,227901012.0,0.0,4.0,25.0,113.0,0.0,5.0,21.0
2015,15915062.0,4.0,0.0,4.0,9.0,0.0,0.0,4.0
2015,15915061.0,0.0,0.0,4.0,24.0,0.0,4.0,4.0
2015,36902005.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
2015,15908039.0,0.0,0.0,4.0,32.0,0.0,4.0,0.0
2015,247906002.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
2015,214901110.0,4.0,0.0,0.0,621.0,0.0,0.0,0.0
2015,37901101.0,4.0,0.0,64.0,91.0,0.0,9.0,101.0
2015,37901001.0,4.0,0.0,54.0,54.0,0.0,7.0,78.0
2015,37901041.0,0.0,0.0,54.0,55.0,0.0,11.0,66.0
2015,21902117.0,10.0,0.0,48.0,114.0,4.0,20.0,185.0
2015,43901102.0,14.0,4.0,155.0,292.0,4.0,32.0,221.0
2015,239901101.0,5.0,0.0,236.0,227.0,0.0,10.0,78.0
2015,108908107.0,0.0,0.0,0.0,475.0,0.0,0.0,4.0
2015,108908043.0,0.0,0.0,0.0,918.0,0.0,0.0,4.0
2015,126901102.0,4.0,4.0,5.0,99.0,0.0,14.0,274.0
2015,126901101.0,0.0,5.0,12.0,167.0,0.0,9.0,223.0
2015,126901001.0,4.0,6.0,33.0,307.0,4.0,15.0,669.0
2015,126901104.0,4.0,9.0,23.0,258.0,0.0,22.0,473.0
2015,126901041.0,4.0,7.0,14.0,157.0,0.0,12.0,315.0
2015,108906101.0,4.0,0.0,0.0,506.0,0.0,4.0,5.0
2015,20901101.0,24.0,4.0,17.0,264.0,0.0,8.0,200.0
2015,20901001.0,40.0,16.0,73.0,1270.0,4.0,39.0,1133.0
2015,20901041.0,4.0,4.0,18.0,337.0,0.0,24.0,359.0
2015,20901102.0,37.0,4.0,15.0,375.0,4.0,12.0,206.0
2015,43901105.0,59.0,4.0,70.0,81.0,4.0,25.0,293.0
2015,249901101.0,0.0,4.0,0.0,53.0,0.0,4.0,269.0
2015,249901001.0,0.0,0.0,4.0,27.0,0.0,4.0,178.0
2015,249901041.0,0.0,0.0,4.0,20.0,0.0,4.0,132.0
2015,31912005.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
2015,108909118.0,0.0,0.0,4.0,644.0,0.0,0.0,4.0
2015,199901103.0,20.0,4.0,60.0,256.0,4.0,10.0,217.0
2015,188901003.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0
2015,188901001.0,58.0,12.0,109.0,403.0,0.0,72.0,1545.0
2015,84804101.0,6.0,0.0,196.0,71.0,0.0,4.0,31.0
2015,57906104.0,4.0,4.0,395.0,230.0,0.0,10.0,37.0
2015,57905140.0,4.0,0.0,77.0,126.0,0.0,0.0,0.0
2015,123910101.0,27.0,4.0,455.0,142.0,4.0,29.0,98.0
2015,71909004.0,9.0,4.0,54.0,2192.0,4.0,4.0,73.0
2015,140901001.0,0.0,0.0,7.0,134.0,0.0,0.0,19.0
2015,31906003.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0
2015,101819001.0,0.0,0.0,4.0,498.0,0.0,0.0,0.0
2015,220901124.0,43.0,4.0,101.0,379.0,0.0,8.0,67.0
2015,240903114.0,5.0,0.0,0.0,569.0,0.0,4.0,5.0
2015,199901106.0,10.0,4.0,23.0,65.0,4.0,27.0,651.0
2015,36901101.0,13.0,4.0,60.0,195.0,0.0,11.0,283.0
2015,36901001.0,8.0,4.0,56.0,100.0,0.0,13.0,182.0
2015,36901041.0,4.0,4.0,41.0,86.0,0.0,10.0,148.0
2015,101902101.0,4.0,4.0,444.0,229.0,0.0,10.0,9.0
2015,101912105.0,23.0,4.0,92.0,537.0,4.0,4.0,14.0
2015,101919109.0,10.0,10.0,116.0,293.0,5.0,23.0,147.0
2015,170902101.0,4.0,4.0,37.0,540.0,4.0,10.0,82.0
2015,3903120.0,6.0,4.0,105.0,96.0,0.0,10.0,83.0
2015,43905105.0,247.0,4.0,73.0,59.0,0.0,29.0,273.0
2015,220901160.0,13.0,4.0,165.0,642.0,0.0,6.0,30.0
2015,227901009.0,149.0,6.0,127.0,710.0,4.0,70.0,1161.0
2015,246909109.0,26.0,4.0,48.0,226.0,4.0,12.0,157.0
2015,93901101.0,4.0,4.0,33.0,68.0,0.0,5.0,280.0
2015,93901001.0,0.0,4.0,35.0,63.0,0.0,5.0,326.0
2015,101907146.0,48.0,13.0,383.0,679.0,4.0,27.0,82.0
2015,71902001.0,17.0,5.0,202.0,1272.0,4.0,47.0,177.0
2015,57910045.0,32.0,4.0,226.0,720.0,4.0,17.0,128.0
2015,2901002.0,0.0,0.0,0.0,25.0,0.0,4.0,11.0
2015,205902104.0,5.0,5.0,4.0,206.0,0.0,4.0,126.0
2015,43910140.0,475.0,4.0,22.0,37.0,0.0,8.0,156.0
2015,227901102.0,15.0,0.0,101.0,506.0,0.0,4.0,32.0
2015,2901001.0,5.0,0.0,20.0,627.0,0.0,19.0,324.0
2015,2901041.0,4.0,4.0,14.0,622.0,0.0,11.0,274.0
2015,101919003.0,61.0,35.0,1634.0,1061.0,7.0,9.0,48.0
2015,31912117.0,0.0,0.0,0.0,502.0,0.0,0.0,4.0
2015,20902001.0,18.0,8.0,227.0,842.0,4.0,34.0,795.0
2015,20902044.0,4.0,4.0,173.0,720.0,4.0,33.0,529.0
2015,199902104.0,6.0,5.0,36.0,102.0,0.0,15.0,342.0
2015,126902110.0,7.0,4.0,102.0,171.0,4.0,15.0,360.0
2015,71904041.0,0.0,0.0,4.0,571.0,0.0,0.0,4.0
2015,108912045.0,0.0,0.0,4.0,936.0,0.0,0.0,4.0
2015,57905353.0,4.0,4.0,302.0,1020.0,4.0,4.0,20.0
2015,97902102.0,4.0,4.0,4.0,62.0,0.0,6.0,305.0
2015,43902001.0,5.0,5.0,89.0,195.0,0.0,17.0,394.0
2015,43902104.0,4.0,4.0,27.0,131.0,4.0,11.0,172.0
2015,220908120.0,94.0,0.0,189.0,129.0,0.0,46.0,207.0
2015,43902041.0,10.0,6.0,46.0,165.0,0.0,24.0,370.0
2015,57905280.0,32.0,7.0,212.0,831.0,4.0,4.0,47.0
2015,15808009.0,4.0,0.0,4.0,79.0,0.0,5.0,49.0
2015,108904126.0,0.0,0.0,0.0,462.0,0.0,0.0,4.0
2015,220908124.0,7.0,4.0,35.0,140.0,0.0,15.0,144.0
2015,246904101.0,4.0,4.0,19.0,363.0,0.0,12.0,132.0
2015,225902102.0,0.0,4.0,40.0,382.0,0.0,4.0,118.0
2015,57905110.0,4.0,4.0,129.0,517.0,0.0,4.0,17.0
2015,227806017.0,0.0,0.0,4.0,5.0,0.0,4.0,4.0
2015,127901101.0,4.0,4.0,6.0,176.0,0.0,10.0,160.0
2015,127901001.0,4.0,0.0,4.0,92.0,0.0,5.0,86.0
2015,21902115.0,0.0,4.0,131.0,545.0,0.0,12.0,41.0
2015,57905164.0,4.0,0.0,11.0,698.0,0.0,0.0,4.0
2015,127901041.0,0.0,0.0,4.0,89.0,0.0,4.0,73.0
2015,232903104.0,4.0,4.0,4.0,622.0,0.0,4.0,49.0
2015,71906101.0,0.0,0.0,4.0,467.0,0.0,4.0,14.0
2015,71906001.0,0.0,0.0,4.0,197.0,0.0,0.0,12.0
2015,101907058.0,134.0,7.0,326.0,499.0,4.0,30.0,225.0
2015,71906041.0,0.0,0.0,4.0,168.0,0.0,0.0,4.0
2015,110901001.0,0.0,0.0,13.0,165.0,0.0,6.0,57.0
2015,240903053.0,4.0,0.0,0.0,1257.0,0.0,0.0,4.0
2015,71902103.0,0.0,0.0,4.0,562.0,0.0,4.0,9.0
2015,186902104.0,4.0,4.0,4.0,320.0,0.0,4.0,46.0
2015,57916050.0,71.0,4.0,145.0,203.0,0.0,25.0,196.0
2015,228905101.0,0.0,4.0,8.0,9.0,0.0,4.0,98.0
2015,228905001.0,0.0,0.0,5.0,5.0,0.0,4.0,72.0
2015,220905055.0,4.0,4.0,26.0,192.0,0.0,4.0,74.0
2015,109912001.0,0.0,4.0,4.0,40.0,0.0,6.0,222.0
2015,101907051.0,173.0,4.0,177.0,528.0,0.0,36.0,633.0
2015,205901001.0,4.0,5.0,24.0,275.0,0.0,7.0,184.0
2015,57916101.0,38.0,4.0,78.0,171.0,0.0,9.0,247.0
2015,61902047.0,117.0,4.0,91.0,156.0,0.0,33.0,495.0
2015,57905105.0,4.0,4.0,22.0,669.0,0.0,0.0,11.0
2015,5901101.0,0.0,4.0,4.0,26.0,0.0,10.0,213.0
2015,5901001.0,0.0,4.0,4.0,16.0,0.0,11.0,202.0
2015,191901106.0,8.0,4.0,7.0,84.0,4.0,4.0,322.0
2015,61910001.0,5.0,6.0,5.0,70.0,0.0,10.0,615.0
2015,61910042.0,6.0,4.0,4.0,27.0,0.0,5.0,255.0
2015,61910041.0,4.0,4.0,0.0,29.0,0.0,5.0,309.0
2015,101803041.0,4.0,0.0,42.0,134.0,0.0,14.0,215.0
2015,101803001.0,4.0,0.0,11.0,28.0,0.0,4.0,92.0
2015,79907133.0,151.0,4.0,162.0,365.0,0.0,15.0,34.0
2015,220802101.0,46.0,4.0,117.0,90.0,4.0,25.0,259.0
2015,220802102.0,51.0,4.0,128.0,80.0,0.0,14.0,240.0
2015,220802040.0,40.0,4.0,94.0,58.0,4.0,16.0,125.0
2015,220901011.0,13.0,4.0,13.0,83.0,4.0,4.0,8.0
2015,220901001.0,97.0,15.0,462.0,1132.0,7.0,78.0,1053.0
2015,220905002.0,19.0,4.0,384.0,863.0,5.0,47.0,509.0
2015,46902110.0,4.0,4.0,0.0,79.0,4.0,12.0,245.0
2015,84910125.0,314.0,0.0,107.0,369.0,4.0,27.0,103.0
2015,84910111.0,61.0,4.0,40.0,144.0,4.0,23.0,229.0
2015,159901121.0,11.0,8.0,0.0,419.0,0.0,0.0,7.0
2015,105906045.0,4.0,4.0,31.0,500.0,4.0,10.0,144.0
2015,108913042.0,0.0,4.0,0.0,795.0,0.0,0.0,6.0
2015,71902054.0,0.0,0.0,5.0,723.0,0.0,4.0,10.0
2015,170902107.0,4.0,5.0,83.0,529.0,0.0,7.0,67.0
2015,57911101.0,53.0,4.0,6.0,41.0,0.0,21.0,454.0
2015,43910045.0,31.0,4.0,114.0,370.0,4.0,18.0,146.0
2015,15907101.0,0.0,0.0,9.0,597.0,5.0,0.0,8.0
2015,101907041.0,184.0,9.0,267.0,575.0,4.0,35.0,474.0
2015,108909120.0,0.0,0.0,4.0,687.0,0.0,0.0,4.0
2015,212901101.0,4.0,4.0,56.0,60.0,0.0,18.0,268.0
2015,212901001.0,5.0,0.0,35.0,26.0,0.0,8.0,218.0
2015,212901041.0,0.0,0.0,24.0,22.0,0.0,7.0,120.0
2015,21805105.0,4.0,0.0,92.0,19.0,0.0,0.0,5.0
2015,21805102.0,4.0,0.0,91.0,26.0,0.0,4.0,4.0
2015,21805104.0,0.0,0.0,4.0,188.0,0.0,0.0,6.0
2015,21805101.0,0.0,0.0,126.0,10.0,0.0,0.0,0.0
2015,21805106.0,0.0,0.0,75.0,4.0,0.0,0.0,0.0
2015,21805002.0,0.0,0.0,88.0,23.0,0.0,0.0,8.0
2015,21805041.0,0.0,0.0,37.0,34.0,0.0,4.0,4.0
2015,84910122.0,42.0,4.0,63.0,192.0,4.0,34.0,411.0
2015,43907117.0,11.0,4.0,84.0,90.0,4.0,17.0,240.0
2015,57905169.0,6.0,4.0,99.0,373.0,0.0,4.0,56.0
2015,21902047.0,4.0,4.0,99.0,376.0,0.0,8.0,165.0
2015,246913044.0,94.0,4.0,73.0,289.0,4.0,44.0,735.0
2015,57905239.0,0.0,4.0,4.0,652.0,0.0,0.0,6.0
2015,220908207.0,60.0,4.0,186.0,174.0,4.0,34.0,408.0
2015,71905101.0,0.0,4.0,0.0,407.0,0.0,0.0,6.0
2015,57905209.0,0.0,4.0,20.0,760.0,0.0,4.0,13.0
2015,101911113.0,5.0,0.0,53.0,616.0,4.0,6.0,85.0
2015,64903104.0,0.0,0.0,0.0,65.0,0.0,0.0,4.0
2015,101912273.0,20.0,4.0,205.0,236.0,0.0,14.0,79.0
2015,43905119.0,340.0,8.0,46.0,60.0,4.0,34.0,359.0
2015,220901149.0,51.0,4.0,164.0,173.0,0.0,9.0,121.0
2015,101912274.0,113.0,4.0,256.0,378.0,4.0,23.0,134.0
2015,217901101.0,4.0,0.0,4.0,43.0,0.0,0.0,82.0
2015,217901001.0,4.0,0.0,5.0,36.0,0.0,4.0,77.0
2015,220905251.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2015,20901005.0,4.0,4.0,11.0,95.0,0.0,4.0,98.0
2015,101913008.0,84.0,11.0,680.0,977.0,13.0,72.0,1377.0
2015,101913044.0,42.0,6.0,204.0,324.0,4.0,25.0,556.0
2015,101913126.0,25.0,0.0,121.0,291.0,5.0,22.0,571.0
2015,7905004.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2015,15909002.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2015,7902005.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0
2015,82903003.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2015,15908101.0,0.0,0.0,4.0,442.0,0.0,0.0,4.0
2015,107901001.0,7.0,4.0,120.0,436.0,4.0,15.0,387.0
2015,107901103.0,8.0,0.0,61.0,222.0,0.0,16.0,166.0
2015,107901041.0,8.0,5.0,92.0,301.0,4.0,16.0,271.0
2015,101912106.0,0.0,4.0,446.0,99.0,0.0,0.0,4.0
2015,220901132.0,61.0,4.0,239.0,347.0,4.0,4.0,37.0
2015,15822001.0,4.0,0.0,157.0,1028.0,0.0,17.0,78.0
2015,152901061.0,4.0,4.0,109.0,454.0,0.0,7.0,65.0
2015,101917124.0,84.0,0.0,53.0,416.0,0.0,5.0,42.0
